Province/State,Country/Region,Lat,Long
,Latvia,56.8796,24.6032
,European Union
,Pargaujas,57.3735,25.115000000000002
,Priekulu,57.3395,25.445500000000003
,Gulbenes,57.173500000000004,26.5835
,Smiltenes,57.414,25.9905
,Aluksnes,57.43,27.1455
,Ventspils,57.412499999999994,21.5955
,Saulkrastu,57.266999999999996,24.413
,Cesis,57.2455,25.3935
,Talsu,57.255,22.6425
,Sejas,57.214,24.524
,Krimuldas,57.2615,24.7845
,Raunas,57.314499999999995,25.781
,Vilakas,57.1865,27.642000000000003
,Vecpiebalgas,57.120999999999995,25.689
,Ligatnes,57.19,25.0505
,Jaunpiebalgas,57.147000000000006,25.964
,Carnikavas,57.1265,24.233
,Adazu,57.107,24.375999999999998
,Balvu,57.035,27.2945
,Incukalna,57.103,24.6465
,Rugaju,56.9815,27.09
,Siguldas,57.0995,24.887
,Malpils,57.0095,24.974
,Alsungas,56.9815,21.5475
,Garkalnes,57.0255,24.365499999999997
,Riga,56.971999999999994,24.1285
,Ropazu,56.9785,24.5945
,Baltinavas,56.923500000000004,27.5975
,Kandavas,56.972,22.695
,Jurmala,56.967,23.725
,Cesvaines,57.009,26.2825
,Madonas,56.8435,26.3395
,Babites,56.894,23.753
,Stopinu,56.919,24.329
,Kuldigas,56.936499999999995,21.9705
,Lubanas,56.894999999999996,26.726
,Marupes,56.8845,23.9555
,Pavilostas,56.801,21.267
,Ikskiles,56.857,24.5895
,Karsavas,56.7465,27.6615
,Salaspils,56.872,24.3545
,Erglu,56.8845,25.708
,Tukuma,56.971500000000006,23.156
,Kekavas,56.81399999999999,24.2715
,Jaunpils,56.775999999999996,22.9615
,Kokneses,56.7025,25.4765
,Olaines,56.775999999999996,23.997
,Baldones,56.724000000000004,24.369
,Ogres,56.846000000000004,25.05
,Ciblas,56.5955,27.847
,Keguma,56.694,24.7855
,Aizputes,56.713,21.5625
,Skriveru,56.67,25.108
,Varaklanu,56.6275,26.584000000000003
,Lielvardes,56.7065,24.935499999999998
,Vilanu,56.57,26.901000000000003
,Iecavas,56.611000000000004,24.218
,Brocenu,56.7095,22.649
,Ozolnieku,56.627,23.9155
,Jelgava,56.6555,23.7065
,Rezeknes,56.5015,27.249000000000002
,Dobeles,56.632,23.152
,Krustpils,56.5355,26.180500000000002
,Skrundas,56.664,21.9835
,Ludzas,56.382000000000005,27.8405
,Salas,56.4855,25.6985
,Durbes,56.628,21.433
,Aizkraukles,56.6355,25.2215
,Priekules,56.431,21.5595
,Vainodes,56.4555,21.837
,Vecumnieku,56.517,24.680500000000002
,Jaunjelgavas,56.5185,25.29
,Jekabpils,56.501000000000005,25.8705
,Nicas,56.328,21.103
,Jekabpils,56.2785,26.005
,Neretas,56.3235,25.1585
,Rundales,56.417500000000004,23.996000000000002
,Ilukstes,55.9925,26.0995
,Aknistes,56.1465,25.8245
,Aglonas,56.101,27.1095
,Daugavpils,55.9415,26.6075
,Kraslavas,55.935,27.3405
,Jelgavas,56.6125,23.7125
,Saldus,56.64,22.433
,Viesites,56.301,25.514
,Auces,56.454,22.9605
,Grobinas,56.5025,21.2345
,Riebinu,56.345,26.8265
,Zilupes,56.2765,28.0475
,Daugavpils,55.9005,26.5245
,Bauskas,56.3955,24.298000000000002
,Rucavas,56.213499999999996,21.2365
,Livanu,56.3515,26.3465
,Preilu,56.282,26.6815
,Varkavas,56.22,26.490000000000002
,Dagdas,56.1105,27.643500000000003
,Rujienas,57.9305,25.2825
,Nauksenu,57.888999999999996,25.4835
,Mazsalaca,57.9335,25.0425
,Valkas,57.7115,25.9195
,Alojas,57.803,24.8345
,Salacgrivas,57.68,24.499499999999998
,Burtnieku,57.688,25.3555
,Strencu,57.608,25.747
,Dundagas,57.577,22.3465
,Rojas,57.524,22.772
,Kocenu,57.531,25.1475
,Ventspils,57.298,21.823
,Beverinas,57.53,25.581
,Apes,57.4495,26.558999999999997
,Limbazu,57.4925,24.737000000000002
,Engures,57.1145,23.3275
,Amatas,57.115,25.345
,Tervetes,56.4615,23.305
,Valmiera,57.522999999999996,25.427
,Mersraga,57.314,23.03
,Plavinu,56.6985,25.722
